drawNumber,drawDate,n1,n2,n3,n4,n5,b1
737,2013-10-08,5,12,18,19,23,16
736,2013-10-01,2,14,17,20,27,9
735,2013-09-24,3,14,16,23,30,7
734,2013-09-17,6,8,10,12,13,31
733,2013-09-10,5,9,11,18,20,31
732,2013-09-03,4,6,16,29,31,9
731,2013-08-27,7,9,18,28,30,11
730,2013-08-20,3,5,7,14,22,4
729,2013-08-13,13,16,17,20,29,11
728,2013-08-06,1,9,11,13,28,16
727,2013-07-30,4,7,14,16,24,27
726,2013-07-23,1,2,16,18,25,7
725,2013-07-16,6,11,26,28,30,19
724,2013-07-09,7,14,17,22,29,1
723,2013-07-02,4,7,9,25,31,18
722,2013-06-25,4,6,17,21,30,9
721,2013-06-18,3,5,12,15,22,2
720,2013-06-11,5,11,17,19,20,15
719,2013-06-04,2,9,18,22,27,16
718,2013-05-28,2,11,16,19,24,23
717,2013-05-21,3,5,14,23,26,1
716,2013-05-14,13,18,19,20,24,17
715,2013-05-07,2,3,5,9,22,18
714,2013-04-30,6,10,20,22,31,1
713,2013-04-23,4,13,22,28,31,16
712,2013-04-16,3,7,18,27,31,1
711,2013-04-09,3,5,10,17,25,22
710,2013-04-02,2,15,18,25,26,20
709,2013-03-26,2,5,16,17,18,30
708,2013-03-19,10,11,20,28,29,1
707,2013-03-12,2,11,23,27,29,3
706,2013-03-05,4,6,15,16,29,27
705,2013-02-26,8,16,18,21,22,27
704,2013-02-19,2,11,21,24,25,23
703,2013-02-12,3,10,16,28,31,15
702,2013-02-05,10,12,13,20,23,4
701,2013-01-29,4,8,13,15,26,3
700,2013-01-22,6,8,9,21,26,4
699,2013-01-15,6,12,21,24,28,15
698,2013-01-08,2,3,5,14,24,9
697,2012-12-25,5,7,17,25,27,18
696,2012-12-18,5,9,15,19,30,6
695,2012-12-11,4,19,20,27,28,14
694,2012-12-04,5,12,15,16,20,6
693,2012-11-27,5,17,21,24,25,3
692,2012-11-20,9,13,14,23,31,20
691,2012-11-13,3,9,10,20,25,31
690,2012-11-06,11,16,22,23,25,9
689,2012-10-30,12,13,19,23,25,28
688,2012-10-23,4,5,9,15,26,11
687,2012-10-16,2,9,17,24,29,22
686,2012-10-09,3,5,7,10,18,6
685,2012-10-02,8,11,19,21,30,1
684,2012-09-25,10,12,13,19,25,7
683,2012-09-18,1,7,15,23,26,11
682,2012-09-11,4,8,20,25,27,30
681,2012-09-04,6,12,17,19,30,9
680,2012-08-28,2,3,11,15,24,23
679,2012-08-21,5,11,23,29,31,28
678,2012-08-14,15,17,21,24,25,20
677,2012-08-07,10,16,23,24,30,18
676,2012-07-31,4,6,18,22,28,1
675,2012-07-24,6,21,27,28,31,20
674,2012-07-17,1,2,3,24,25,15
673,2012-07-10,6,12,21,24,25,22
672,2012-07-03,3,8,20,22,28,5
671,2012-06-26,7,14,19,22,27,28
670,2012-06-19,4,6,26,27,29,30
669,2012-06-12,4,7,8,25,31,14
668,2012-06-05,7,9,16,27,29,30
667,2012-05-29,8,9,19,26,31,28
666,2012-05-22,10,11,17,24,29,26
665,2012-05-15,7,12,17,20,28,9
664,2012-05-08,6,9,11,16,29,4
663,2012-05-01,1,9,10,21,31,23
662,2012-04-24,7,9,15,28,31,26
661,2012-04-17,2,6,9,19,20,27
660,2012-04-10,7,12,15,30,31,18
659,2012-04-03,5,9,22,30,31,3
658,2012-03-27,7,8,11,15,26,1
657,2012-03-20,9,14,18,23,30,10
656,2012-03-13,4,10,15,22,23,7
655,2012-03-06,7,9,12,14,18,24
654,2012-02-28,6,11,22,25,27,2
653,2012-02-21,11,16,20,22,30,21
652,2012-02-14,2,5,19,28,29,23
651,2012-02-07,8,11,15,20,31,18
650,2012-01-31,4,11,18,24,26,13
649,2012-01-24,3,11,18,19,21,12
648,2012-01-17,6,13,18,19,21,26
647,2012-01-10,3,6,7,10,21,18
646,2011-12-27,3,6,16,30,31,17
645,2011-12-20,8,13,18,19,24,11
644,2011-12-13,5,13,15,20,27,30
643,2011-12-06,9,11,17,19,22,6
642,2011-11-29,9,22,26,27,31,28
641,2011-11-22,5,11,14,17,22,15
640,2011-11-15,6,15,18,28,31,8
639,2011-11-08,6,14,20,29,31,22
638,2011-11-01,1,16,18,27,30,15
637,2011-10-25,1,5,10,15,21,11
636,2011-10-18,8,13,21,26,30,3
635,2011-10-11,12,13,16,20,29,11
634,2011-10-04,6,14,24,27,31,22
633,2011-09-27,2,12,19,20,30,13
632,2011-09-20,6,14,15,25,26,13
631,2011-09-13,3,15,18,20,25,29
630,2011-09-06,3,4,16,19,31,14
629,2011-08-30,1,3,16,26,29,31
628,2011-08-23,1,2,10,17,20,18
627,2011-08-16,6,10,14,15,20,19
626,2011-08-09,11,12,14,17,26,23
625,2011-08-02,19,20,23,26,31,6
624,2011-07-26,5,7,11,12,24,4
623,2011-07-19,4,9,14,15,26,29
622,2011-07-12,13,14,20,25,27,19
621,2011-07-05,6,12,18,24,30,9
620,2011-06-28,2,14,21,25,31,5
619,2011-06-21,4,7,14,20,30,28
618,2011-06-14,10,12,14,22,31,23
617,2011-06-07,3,9,16,19,28,25
616,2011-05-31,7,18,21,27,28,10
615,2011-05-24,4,12,13,19,20,10
614,2011-05-17,7,16,23,25,30,11
613,2011-05-10,2,16,17,20,28,14
612,2011-05-03,11,18,24,27,30,4
611,2011-04-26,12,18,21,25,30,17
610,2011-04-19,3,8,14,17,30,19
609,2011-04-12,3,14,21,26,30,25
608,2011-04-05,13,19,21,25,29,15
607,2011-03-29,7,8,12,18,30,17
606,2011-03-22,9,20,23,30,31,1
605,2011-03-15,5,6,13,19,28,17
604,2011-03-08,2,11,13,22,25,5
603,2011-03-01,4,5,26,28,30,15
602,2011-02-22,3,14,18,22,25,27
601,2011-02-15,10,14,15,16,24,28
600,2011-02-08,1,2,3,4,22,13
599,2011-02-01,3,7,10,11,29,25
598,2011-01-25,4,15,21,26,30,1
597,2011-01-18,2,13,16,17,19,29
596,2011-01-11,6,9,10,14,27,31
595,2011-01-04,7,11,15,20,23,3
594,2010-12-28,2,5,10,22,30,12
593,2010-12-21,11,14,22,28,29,25
592,2010-12-14,5,6,23,25,26,14
591,2010-12-07,4,8,9,13,19,12
590,2010-11-30,4,7,11,17,19,14
589,2010-11-23,3,10,13,22,26,12
588,2010-11-16,4,11,18,26,31,13
587,2010-11-09,11,17,19,29,30,1
586,2010-11-02,1,5,6,10,15,2
585,2010-10-26,14,19,23,24,31,29
584,2010-10-19,6,9,11,14,22,29
583,2010-10-12,1,3,10,11,16,24
582,2010-10-05,3,14,22,24,30,10
581,2010-09-28,2,6,12,14,30,3
580,2010-09-21,1,4,14,15,26,18
579,2010-09-14,1,4,15,17,23,8
578,2010-09-07,5,11,16,19,30,18
577,2010-08-31,5,10,21,24,25,13
576,2010-08-24,6,8,10,21,23,18
575,2010-08-17,10,16,20,21,27,24
574,2010-08-10,3,7,8,13,15,25
573,2010-08-03,15,21,22,23,29,5
572,2010-07-27,1,6,18,23,29,21
571,2010-07-20,9,22,27,28,29,26
570,2010-07-13,1,2,5,6,10,8
569,2010-07-06,10,17,23,26,28,5
568,2010-06-29,8,12,16,24,30,23
567,2010-06-22,10,12,20,24,25,17
566,2010-06-15,3,8,23,28,30,31
565,2010-06-08,18,19,20,28,29,13
564,2010-06-01,9,17,19,22,29,6
563,2010-05-25,4,5,18,19,30,1
562,2010-05-18,2,7,12,15,17,23
561,2010-05-11,1,5,6,16,25,18
560,2010-05-04,11,13,17,29,30,5
559,2010-04-27,2,4,7,11,16,25
558,2010-04-20,4,10,16,22,30,27
557,2010-04-13,8,18,21,22,28,31
556,2010-04-06,4,6,16,17,24,26
555,2010-03-30,1,15,18,24,29,23
554,2010-03-23,2,6,23,24,28,9
553,2010-03-16,2,13,23,24,30,15
552,2010-03-09,7,11,14,17,28,29
551,2010-03-02,1,2,10,24,31,28
550,2010-02-23,8,16,22,28,31,3
549,2010-02-16,10,12,19,24,25,14
548,2010-02-09,5,6,16,23,29,31
547,2010-02-02,5,23,25,29,31,28
546,2010-01-26,3,8,19,22,29,20
545,2010-01-19,1,15,23,28,29,2
544,2010-01-12,3,9,18,29,30,28
543,2010-01-05,4,7,17,22,25,30
542,2009-12-29,3,9,11,20,27,21
541,2009-12-22,1,9,10,16,23,30
540,2009-12-15,2,19,22,27,29,6
539,2009-12-08,9,18,23,26,29,5
538,2009-12-01,8,10,13,20,21,31
537,2009-11-24,9,10,27,29,30,5
536,2009-11-17,14,18,20,22,24,19
535,2009-11-10,18,20,23,24,31,7
534,2009-11-03,7,22,25,26,30,4
533,2009-10-27,6,13,19,23,31,20
532,2009-10-20,5,10,21,27,28,18
531,2009-10-13,13,21,22,26,27,19
530,2009-10-06,2,3,5,16,19,10
529,2009-09-29,5,7,14,16,20,15
528,2009-09-22,2,11,14,15,21,8
527,2009-09-15,11,13,15,23,25,4
526,2009-09-08,4,5,16,21,31,26
525,2009-09-01,1,14,21,25,27,6
524,2009-08-25,7,10,17,22,24,12
523,2009-08-18,8,17,18,19,24,10
522,2009-08-11,4,19,22,23,27,31
521,2009-08-04,4,9,14,25,26,15
520,2009-07-28,2,3,11,14,30,8
519,2009-07-21,2,9,25,29,31,4
518,2009-07-14,11,16,18,20,27,23
517,2009-07-07,12,26,28,29,30,5
516,2009-06-30,3,12,14,15,26,5
515,2009-06-23,5,21,24,25,26,31
514,2009-06-16,15,16,21,25,30,14
513,2009-06-09,3,11,18,19,25,8
512,2009-06-02,8,14,25,29,30,7
511,2009-05-26,13,16,26,28,31,11
510,2009-05-19,18,19,21,23,30,25
509,2009-05-12,2,13,22,29,30,8
508,2009-05-05,3,6,9,14,25,1
507,2009-04-28,10,19,26,27,28,2
506,2009-04-21,4,14,15,23,24,11
505,2009-04-14,5,16,19,20,22,28
504,2009-04-07,8,10,24,28,31,9
503,2009-03-31,11,18,21,23,27,3
502,2009-03-24,2,3,5,13,14,1
501,2009-03-17,12,13,16,17,21,22
500,2009-03-10,19,20,23,25,28,5
499,2009-03-03,2,8,14,15,26,31
498,2009-02-24,2,15,20,23,30,3
497,2009-02-17,4,21,23,27,28,26
496,2009-02-10,4,10,11,22,30,9
495,2009-02-03,7,10,22,26,27,5
494,2009-01-27,2,10,14,26,28,18
493,2009-01-20,1,11,12,13,17,26
492,2009-01-13,3,8,9,11,20,18
491,2009-01-06,8,10,16,20,23,6
490,2008-12-30,7,9,13,21,24,11
489,2008-12-23,2,4,9,22,31,17
488,2008-12-16,10,15,17,23,29,24
487,2008-12-09,15,17,20,22,29,16
486,2008-12-02,5,8,20,22,26,19
485,2008-11-25,3,8,10,15,31,18
484,2008-11-18,1,3,4,19,29,27
483,2008-11-11,7,20,23,27,29,25
482,2008-11-04,2,16,20,24,29,5
481,2008-10-28,3,7,13,16,25,31
480,2008-10-21,5,7,18,25,31,23
479,2008-10-14,14,22,26,27,29,21
478,2008-10-07,3,17,18,22,25,5
477,2008-09-30,1,4,13,20,28,31
476,2008-09-23,3,10,12,20,24,13
475,2008-09-16,8,9,12,14,24,30
474,2008-09-09,5,12,14,18,23,11
473,2008-09-02,4,5,18,20,26,3
472,2008-08-26,4,15,17,20,21,3
471,2008-08-19,13,17,20,23,30,28
470,2008-08-12,11,15,22,30,31,14
469,2008-08-05,5,9,12,16,19,3
468,2008-07-29,7,8,13,24,27,10
467,2008-07-22,1,2,13,15,23,26
466,2008-07-15,15,16,19,20,29,17
465,2008-07-08,13,18,21,25,28,7
464,2008-07-01,1,12,16,22,28,15
463,2008-06-24,12,13,16,21,23,18
462,2008-06-17,4,19,22,25,29,27
461,2008-06-10,6,12,17,20,26,11
460,2008-06-03,10,11,25,27,30,4
459,2008-05-27,12,13,26,27,29,2
458,2008-05-20,6,8,15,24,31,1
457,2008-05-13,2,16,17,22,28,11
456,2008-05-06,6,8,10,16,20,2
455,2008-04-29,1,10,16,24,26,9
454,2008-04-22,2,5,13,20,24,12
453,2008-04-15,4,7,12,17,27,24
452,2008-04-08,2,12,16,18,30,20
451,2008-04-01,3,7,12,14,16,31
450,2008-03-25,2,5,8,13,27,26
449,2008-03-18,7,8,10,11,20,12
448,2008-03-11,1,7,12,17,18,25
447,2008-03-04,14,17,20,25,26,8
446,2008-02-26,10,11,15,16,17,4
445,2008-02-19,7,16,18,26,31,25
444,2008-02-12,1,11,17,30,31,13
443,2008-02-05,5,17,22,23,30,20
442,2008-01-29,5,8,19,24,30,17
441,2008-01-22,6,8,19,28,30,17
440,2008-01-15,5,12,13,21,30,28
439,2008-01-08,10,17,19,21,23,16
438,2007-12-25,1,2,10,13,21,16
437,2007-12-18,9,13,15,28,31,12
436,2007-12-11,7,8,18,21,24,17
435,2007-12-04,8,19,22,25,27,6
434,2007-11-27,1,6,10,11,22,18
433,2007-11-20,1,12,17,20,27,14
432,2007-11-13,3,9,14,22,25,12
431,2007-11-06,3,12,14,24,25,2
430,2007-10-30,3,7,16,18,21,27
429,2007-10-23,11,18,22,26,30,20
428,2007-10-16,11,20,24,27,29,21
427,2007-10-09,9,14,19,20,26,16
426,2007-10-02,3,15,17,21,26,29
425,2007-09-25,4,10,20,25,28,6
424,2007-09-18,3,4,8,11,31,24
423,2007-09-11,8,14,16,24,31,7
422,2007-09-04,10,12,15,21,27,24
421,2007-08-28,11,14,24,28,29,16
420,2007-08-21,2,10,13,23,27,18
419,2007-08-14,5,12,19,20,27,28
418,2007-08-07,13,16,22,27,30,4
417,2007-07-31,3,9,12,23,24,22
416,2007-07-24,4,6,13,15,22,7
415,2007-07-17,11,16,24,28,30,22
414,2007-07-10,5,7,10,20,27,21
413,2007-07-03,8,14,21,23,29,17
412,2007-06-26,1,5,6,9,23,16
411,2007-06-19,5,8,12,19,22,11
410,2007-06-12,3,10,19,20,31,15
409,2007-06-05,2,11,19,27,28,5
408,2007-05-29,7,12,22,26,30,4
407,2007-05-22,5,15,21,22,31,10
406,2007-05-15,5,13,19,28,29,1
405,2007-05-08,8,9,13,27,31,17
404,2007-05-01,1,8,11,26,28,24
403,2007-04-24,2,5,16,30,31,18
402,2007-04-17,10,20,22,24,27,8
401,2007-04-10,11,13,18,26,30,6
400,2007-04-03,12,20,22,24,25,26
399,2007-03-27,7,13,23,27,31,8
398,2007-03-20,10,17,25,27,31,26
397,2007-03-13,1,14,17,24,25,29
396,2007-03-06,1,6,21,25,28,22
395,2007-02-27,6,21,22,23,31,3
394,2007-02-20,2,5,21,27,31,25
393,2007-02-13,15,17,18,22,30,11
392,2007-02-06,3,13,15,25,30,26
391,2007-01-30,1,10,15,30,31,21
390,2007-01-23,11,14,23,29,30,20
389,2007-01-16,8,11,13,27,30,6
388,2007-01-09,4,8,19,27,31,11
387,2006-12-26,16,26,28,29,30,11
386,2006-12-19,1,3,5,7,23,14
385,2006-12-12,6,14,20,24,27,3
384,2006-12-05,4,9,15,25,29,5
383,2006-11-28,4,7,9,17,31,12
382,2006-11-21,7,9,11,14,23,19
381,2006-11-14,3,9,19,22,23,21
380,2006-11-07,2,11,12,17,31,15
379,2006-10-31,2,8,15,19,28,26
378,2006-10-24,6,8,15,21,24,5
377,2006-10-17,1,12,20,21,30,6
376,2006-10-10,7,13,21,25,28,2
375,2006-10-03,1,10,20,23,24,16
374,2006-09-26,9,17,27,28,29,8
373,2006-09-19,3,5,11,12,29,22
372,2006-09-12,1,5,22,25,30,12
371,2006-09-05,10,12,19,23,31,27
370,2006-08-29,10,12,16,26,28,21
369,2006-08-22,4,10,23,29,30,31
368,2006-08-15,1,8,17,28,29,6
367,2006-08-08,4,6,14,19,31,9
366,2006-08-01,2,11,14,19,30,3
365,2006-07-25,6,10,18,27,28,14
364,2006-07-18,5,9,13,20,23,18
363,2006-07-11,4,10,12,17,22,16
362,2006-07-04,4,17,19,20,31,7
361,2006-06-27,2,4,6,12,30,5
360,2006-06-20,6,11,20,27,28,5
359,2006-06-13,3,11,15,18,19,22
358,2006-06-06,4,13,18,27,31,23
357,2006-05-30,15,24,26,28,29,16
356,2006-05-23,6,11,17,19,22,21
355,2006-05-16,8,9,24,27,29,31
354,2006-05-09,3,6,17,19,30,1
353,2006-05-02,3,13,14,17,25,18
352,2006-04-25,5,7,14,17,30,29
351,2006-04-18,3,6,11,12,27,26
350,2006-04-11,3,9,22,24,28,27
349,2006-04-04,3,5,6,7,12,18
348,2006-03-28,8,9,11,12,18,23
347,2006-03-21,10,11,20,23,27,13
346,2006-03-14,4,14,18,26,31,3
345,2006-03-07,7,14,16,17,29,18
344,2006-02-28,4,9,13,21,23,31
343,2006-02-21,6,10,15,27,30,8
342,2006-02-14,2,15,24,25,27,9
341,2006-02-07,2,5,17,18,26,3
340,2006-01-31,10,14,18,23,25,31
339,2006-01-24,4,9,11,15,23,26
338,2006-01-17,1,3,19,21,27,9
337,2006-01-10,4,7,21,22,23,15
336,2005-12-27,10,14,20,27,28,8
335,2005-12-20,14,16,23,25,31,22
334,2005-12-13,7,12,22,23,25,13
333,2005-12-06,19,21,22,26,28,24
332,2005-11-29,4,9,24,28,29,25
331,2005-11-22,6,19,21,29,30,24
330,2005-11-15,3,13,15,19,24,8
329,2005-11-08,5,14,15,17,29,10
328,2005-11-01,1,2,11,12,18,8
327,2005-10-25,8,14,19,25,28,16
326,2005-10-18,1,3,6,11,25,12
325,2005-10-11,8,11,13,15,28,22
324,2005-10-04,5,6,13,29,30,17
323,2005-09-27,5,15,19,22,27,29
322,2005-09-20,5,8,10,28,31,2
321,2005-09-13,2,11,18,21,27,15
320,2005-09-06,6,7,13,28,30,12
319,2005-08-30,3,20,21,22,27,9
318,2005-08-23,9,18,19,30,31,16
317,2005-08-16,8,10,11,22,23,12
316,2005-08-09,24,25,28,29,30,27
315,2005-08-02,7,11,15,28,31,14
314,2005-07-26,2,7,16,18,20,28
313,2005-07-19,1,7,26,27,31,30
312,2005-07-12,7,12,17,18,21,11
311,2005-07-05,2,17,19,28,29,10
310,2005-06-28,6,14,17,24,25,11
309,2005-06-21,8,14,17,22,23,1
308,2005-06-14,1,13,17,22,27,16
307,2005-06-07,2,10,15,21,28,12
306,2005-05-31,17,20,23,24,31,11
305,2005-05-24,10,11,13,16,24,22
304,2005-05-17,3,10,11,14,20,17
303,2005-05-10,13,14,16,19,25,1
302,2005-05-03,6,7,9,14,20,22
301,2005-04-26,5,11,16,26,31,12
300,2005-04-19,10,13,16,22,28,7
299,2005-04-12,2,9,15,26,31,11
298,2005-04-05,8,10,12,15,22,16
297,2005-03-29,5,9,18,25,30,31
296,2005-03-22,8,14,18,24,29,19
295,2005-03-15,8,14,16,17,26,5
294,2005-03-08,14,23,26,29,31,28
293,2005-03-01,14,15,16,24,25,12
292,2005-02-22,2,7,13,25,31,17
291,2005-02-15,4,8,21,23,26,22
290,2005-02-08,3,8,11,23,30,5
289,2005-02-01,5,6,11,24,28,18
288,2005-01-25,6,16,21,29,31,18
287,2005-01-18,2,7,14,19,21,1
286,2005-01-11,14,15,20,22,30,2
285,2005-01-04,8,17,19,24,26,16
284,2004-12-28,1,5,8,11,18,30
283,2004-12-21,11,15,19,20,29,1
282,2004-12-14,1,2,18,27,29,13
281,2004-12-07,5,7,11,13,21,27
280,2004-11-30,4,9,13,15,19,12
279,2004-11-23,2,7,19,23,25,11
278,2004-11-16,8,12,13,14,24,16
277,2004-11-09,4,14,16,19,22,10
276,2004-11-02,12,16,19,20,23,11
275,2004-10-26,11,16,17,21,22,19
274,2004-10-19,7,8,9,16,25,12
273,2004-10-12,3,5,7,11,17,23
272,2004-10-05,4,16,21,28,29,9
271,2004-09-28,6,13,15,24,31,20
270,2004-09-21,9,10,11,14,19,21
269,2004-09-14,3,7,20,23,29,16
268,2004-09-07,17,18,20,27,31,13
267,2004-08-31,8,14,15,19,25,31
266,2004-08-24,3,8,25,28,31,6
265,2004-08-17,1,3,24,26,28,21
264,2004-08-10,2,4,7,25,30,15
263,2004-08-03,15,25,28,30,31,2
262,2004-07-27,5,19,23,27,28,2
261,2004-07-20,2,3,5,14,29,18
260,2004-07-13,6,7,17,19,23,28
259,2004-07-06,5,7,11,12,23,17
258,2004-06-29,4,6,9,19,22,5
257,2004-06-22,2,9,12,20,31,10
256,2004-06-15,5,9,15,16,27,28
255,2004-06-08,12,17,20,27,29,18
254,2004-06-01,3,7,22,25,29,27
253,2004-05-25,1,3,10,21,25,29
252,2004-05-18,12,18,24,27,31,22
251,2004-05-11,1,3,19,20,23,28
250,2004-05-04,1,3,11,12,31,22
249,2004-04-27,9,11,12,18,20,7
248,2004-04-20,4,13,16,24,29,12
247,2004-04-13,7,11,19,27,31,2
246,2004-04-06,1,12,15,20,23,4
245,2004-03-30,1,10,14,21,28,23
244,2004-03-23,6,11,21,22,25,15
243,2004-03-16,4,11,15,27,28,1
242,2004-03-09,5,12,23,27,31,14
241,2004-03-02,1,2,4,13,26,7
240,2004-02-24,2,6,14,28,29,11
239,2004-02-17,16,18,21,23,27,31
238,2004-02-10,13,15,17,22,25,26
237,2004-02-03,6,8,17,18,28,20
236,2004-01-27,14,17,23,24,29,3
235,2004-01-20,5,6,16,17,31,8
234,2004-01-13,16,18,22,23,26,2
233,2004-01-06,8,14,19,21,29,25
232,2003-12-30,3,12,20,24,26,31
231,2003-12-23,3,4,10,11,24,28
230,2003-12-16,4,16,17,25,26,19
229,2003-12-09,12,19,23,24,30,6
228,2003-12-02,10,17,21,24,27,2
227,2003-11-25,2,4,7,21,30,20
226,2003-11-18,4,12,14,26,30,28
225,2003-11-11,13,14,18,24,26,16
224,2003-11-04,12,16,27,30,31,14
223,2003-10-28,4,10,16,19,22,21
222,2003-10-21,10,18,21,26,28,9
221,2003-10-14,4,8,14,22,26,9
220,2003-10-07,9,10,11,21,29,5
219,2003-09-30,1,15,17,21,28,6
218,2003-09-23,9,16,24,25,29,23
217,2003-09-16,2,8,17,19,23,21
216,2003-09-09,3,7,13,16,17,2
215,2003-09-02,4,15,20,21,28,16
214,2003-08-26,2,8,16,18,28,12
213,2003-08-19,1,2,3,9,29,27
212,2003-08-12,1,5,10,14,30,26
211,2003-08-05,9,10,13,18,22,15
210,2003-07-29,9,10,18,19,29,21
209,2003-07-22,7,17,23,27,29,12
208,2003-07-15,6,10,13,16,17,29
207,2003-07-08,3,4,10,16,25,7
206,2003-07-01,6,8,12,27,31,24
205,2003-06-24,3,4,13,14,23,12
204,2003-06-17,7,18,22,24,29,9
203,2003-06-10,4,10,18,22,25,20
202,2003-06-03,6,10,11,18,31,25
201,2003-05-27,3,5,23,25,26,17
200,2003-05-20,1,4,12,13,18,25
199,2003-05-13,1,9,21,26,29,25
198,2003-05-06,13,20,21,25,28,14
197,2003-04-29,8,18,20,21,31,1
196,2003-04-22,2,4,14,21,22,16
195,2003-04-15,1,2,6,15,23,21
194,2003-04-08,3,6,15,17,23,1
193,2003-04-01,6,8,18,20,22,11
192,2003-03-25,6,7,10,11,17,3
191,2003-03-18,1,6,8,12,13,2
190,2003-03-11,4,5,21,27,29,2
189,2003-03-04,9,16,22,25,26,3
188,2003-02-25,7,16,24,25,28,30
187,2003-02-18,4,6,17,24,25,1
186,2003-02-11,8,12,20,21,25,22
185,2003-02-04,7,19,20,25,28,2
184,2003-01-28,2,10,23,30,31,16
183,2003-01-21,3,9,13,25,26,7
182,2003-01-14,2,10,14,23,24,6
181,2003-01-07,1,3,14,16,26,12
180,2002-12-24,17,18,19,21,28,22
179,2002-12-17,1,7,26,30,31,12
178,2002-12-10,3,24,26,28,31,20
177,2002-12-03,7,13,17,21,30,20
176,2002-11-26,12,14,24,26,30,18
175,2002-11-19,8,12,17,19,24,5
174,2002-11-12,1,3,8,21,22,2
173,2002-11-05,11,18,20,22,29,10
172,2002-10-29,1,4,14,21,28,3
171,2002-10-22,2,6,9,12,31,17
170,2002-10-15,2,7,14,20,22,5
169,2002-10-08,8,15,18,25,31,13
168,2002-10-01,2,8,11,16,30,17
167,2002-09-24,11,19,20,25,26,23
166,2002-09-17,8,13,21,24,28,16
165,2002-09-10,9,16,24,25,26,20
164,2002-09-03,7,9,16,26,30,28
163,2002-08-27,1,12,13,16,28,31
162,2002-08-20,6,14,17,23,31,20
161,2002-08-13,2,3,4,17,19,8
160,2002-08-06,4,23,24,30,31,27
159,2002-07-30,7,11,16,23,24,13
158,2002-07-23,3,14,16,20,31,25
157,2002-07-16,1,5,14,18,20,6
156,2002-07-09,2,3,13,19,31,15
155,2002-07-02,9,10,16,21,23,4
154,2002-06-25,2,10,16,19,22,17
153,2002-06-18,2,3,8,23,29,6
152,2002-06-11,1,2,11,22,30,27
151,2002-06-04,4,10,13,14,19,12
150,2002-05-28,2,11,16,24,26,4
149,2002-05-21,5,6,17,27,28,20
148,2002-05-14,2,7,19,26,31,24
147,2002-05-07,5,10,21,27,28,2
146,2002-04-30,1,6,11,12,18,8
145,2002-04-23,13,14,19,24,28,3
144,2002-04-16,4,13,14,19,28,5
143,2002-04-09,17,18,20,23,26,6
142,2002-04-02,10,11,24,25,30,8
141,2002-03-26,4,6,9,20,24,16
140,2002-03-19,8,9,17,20,29,6
139,2002-03-12,14,17,20,26,28,23
138,2002-03-05,1,4,21,30,31,16
137,2002-02-26,3,15,20,25,28,30
136,2002-02-19,5,11,14,18,28,8
135,2002-02-12,4,7,8,9,24,20
134,2002-02-05,4,5,13,16,18,20
133,2002-01-29,4,7,11,18,31,27
132,2002-01-22,7,13,17,19,24,18
131,2002-01-15,1,9,12,18,21,15
130,2002-01-08,3,4,11,17,26,5
129,2001-12-25,2,13,20,25,30,12
128,2001-12-18,3,6,22,24,27,26
127,2001-12-11,8,9,18,29,31,24
126,2001-12-04,7,16,18,22,25,21
125,2001-11-27,2,21,22,27,29,24
124,2001-11-20,5,7,17,19,27,9
123,2001-11-13,1,5,6,13,15,21
122,2001-11-06,1,8,23,27,28,9
121,2001-10-30,5,17,18,24,30,20
120,2001-10-23,8,12,14,18,27,24
119,2001-10-16,12,14,25,29,30,5
118,2001-10-09,2,4,12,20,23,14
117,2001-10-02,5,11,12,23,24,3
116,2001-09-25,2,7,13,18,23,11
115,2001-09-18,10,15,29,30,31,16
114,2001-09-11,3,5,6,7,11,8
113,2001-09-04,1,2,6,16,28,4
112,2001-08-28,5,7,15,26,27,1
111,2001-08-21,10,19,24,27,31,6
110,2001-08-14,3,7,13,22,27,2
109,2001-08-07,3,5,15,19,22,25
108,2001-07-31,6,10,20,27,29,19
107,2001-07-24,4,8,12,26,27,18
106,2001-07-17,3,5,11,12,18,2
105,2001-07-10,6,11,14,21,27,20
104,2001-07-03,3,4,7,21,30,31
103,2001-06-26,10,13,19,21,30,14
102,2001-06-19,5,10,11,25,28,23
101,2001-06-12,2,10,11,13,26,22
100,2001-06-05,11,12,19,20,31,3
99,2001-05-29,3,7,10,13,15,26
98,2001-05-22,1,2,9,11,20,4
97,2001-05-15,6,12,15,19,22,3
96,2001-05-08,1,5,6,14,27,17
95,2001-05-01,4,5,7,8,31,26
94,2001-04-24,16,19,20,26,29,27
93,2001-04-17,11,15,22,26,27,8
92,2001-04-10,2,3,11,22,30,31
91,2001-04-03,8,9,15,18,22,3
90,2001-03-27,6,12,14,21,27,15
89,2001-03-20,5,7,24,27,29,14
88,2001-03-13,4,19,26,27,30,3
87,2001-03-06,1,5,12,23,27,14
86,2001-02-27,2,8,13,20,24,9
85,2001-02-20,9,11,14,20,29,2
84,2001-02-13,1,15,29,30,31,16
83,2001-02-06,1,6,11,23,26,3
82,2001-01-30,1,3,11,27,30,8
81,2001-01-23,1,7,10,16,25,18
80,2001-01-16,7,10,13,18,22,4
79,2001-01-09,2,13,16,26,30,11
78,2000-12-26,4,11,19,20,22,28
77,2000-12-19,2,3,10,22,26,23
76,2000-12-12,6,11,13,16,23,3
75,2000-12-05,7,14,16,17,29,1
74,2000-11-28,4,6,16,22,28,9
73,2000-11-21,4,6,8,26,30,7
